id;Country Name;Country Code;Indicator Name;Indicator Code;1965
Aruba-1965;Aruba;ABW;GDP (current US$);NY.GDP.MKTP.CD;
Afghanistan-1965;Afghanistan;AFG;GDP (current US$);NY.GDP.MKTP.CD;1006666637
Angola-1965;Angola;AGO;GDP (current US$);NY.GDP.MKTP.CD;
Albania-1965;Albania;ALB;GDP (current US$);NY.GDP.MKTP.CD;
Andorra-1965;Andorra;AND;GDP (current US$);NY.GDP.MKTP.CD;
Arab World-1965;Arab World;ARB;GDP (current US$);NY.GDP.MKTP.CD;
United Arab Emirates-1965;United Arab Emirates;ARE;GDP (current US$);NY.GDP.MKTP.CD;
Argentina-1965;Argentina;ARG;GDP (current US$);NY.GDP.MKTP.CD;28344705966
Armenia-1965;Armenia;ARM;GDP (current US$);NY.GDP.MKTP.CD;
American Samoa-1965;American Samoa;ASM;GDP (current US$);NY.GDP.MKTP.CD;
Antigua and Barbuda-1965;Antigua and Barbuda;ATG;GDP (current US$);NY.GDP.MKTP.CD;
Australia-1965;Australia;AUS;GDP (current US$);NY.GDP.MKTP.CD;25936835031
Austria-1965;Austria;AUT;GDP (current US$);NY.GDP.MKTP.CD;9994070615
Azerbaijan-1965;Azerbaijan;AZE;GDP (current US$);NY.GDP.MKTP.CD;
Burundi-1965;Burundi;BDI;GDP (current US$);NY.GDP.MKTP.CD;158994962
Belgium-1965;Belgium;BEL;GDP (current US$);NY.GDP.MKTP.CD;17371457607
Benin-1965;Benin;BEN;GDP (current US$);NY.GDP.MKTP.CD;289908720
Burkina Faso-1965;Burkina Faso;BFA;GDP (current US$);NY.GDP.MKTP.CD;422916848
Bangladesh-1965;Bangladesh;BGD;GDP (current US$);NY.GDP.MKTP.CD;5906636557
Bulgaria-1965;Bulgaria;BGR;GDP (current US$);NY.GDP.MKTP.CD;
Bahrain-1965;Bahrain;BHR;GDP (current US$);NY.GDP.MKTP.CD;
Bahamas-1965;Bahamas;BHS;GDP (current US$);NY.GDP.MKTP.CD;300392156
Bosnia and Herzegovina-1965;Bosnia and Herzegovina;BIH;GDP (current US$);NY.GDP.MKTP.CD;
Belarus-1965;Belarus;BLR;GDP (current US$);NY.GDP.MKTP.CD;
Belize-1965;Belize;BLZ;GDP (current US$);NY.GDP.MKTP.CD;40069930
Bermuda-1965;Bermuda;BMU;GDP (current US$);NY.GDP.MKTP.CD;114339048
Bolivia-1965;Bolivia;BOL;GDP (current US$);NY.GDP.MKTP.CD;604377104
Brazil-1965;Brazil;BRA;GDP (current US$);NY.GDP.MKTP.CD;21790035117
Barbados-1965;Barbados;BRB;GDP (current US$);NY.GDP.MKTP.CD;
Brunei Darussalam-1965;Brunei Darussalam;BRN;GDP (current US$);NY.GDP.MKTP.CD;114040245
Bhutan-1965;Bhutan;BTN;GDP (current US$);NY.GDP.MKTP.CD;
Botswana-1965;Botswana;BWA;GDP (current US$);NY.GDP.MKTP.CD;45790869
Central African Republic-1965;Central African Republic;CAF;GDP (current US$);NY.GDP.MKTP.CD;150574816
Canada-1965;Canada;CAN;GDP (current US$);NY.GDP.MKTP.CD;54515179580
Central Europe and the Baltics-1965;Central Europe and the Baltics;CEB;GDP (current US$);NY.GDP.MKTP.CD;
Switzerland-1965;Switzerland;CHE;GDP (current US$);NY.GDP.MKTP.CD;15346741669
Channel Islands-1965;Channel Islands;CHI;GDP (current US$);NY.GDP.MKTP.CD;
