id;Entity;Code;Year;Hydro
Africa-1965;Africa;;1965;5.7474947
Africa-1966;Africa;;1966;6.122062
Africa-1967;Africa;;1967;6.325731
Africa-1968;Africa;;1968;7.005293
Africa-1969;Africa;;1969;7.9560876
Africa-1970;Africa;;1970;9.16206
Africa-1971;Africa;;1971;8.076341
Africa-1972;Africa;;1972;8.695498
Africa-1973;Africa;;1973;8.492557
Africa-1974;Africa;;1974;9.219236
Africa-1975;Africa;;1975;9.193146
Africa-1976;Africa;;1976;9.3716345
Africa-1977;Africa;;1977;9.759941
Africa-1978;Africa;;1978;9.476601
Africa-1979;Africa;;1979;9.31017
Africa-1980;Africa;;1980;8.446964
Africa-1981;Africa;;1981;7.8228226
Africa-1982;Africa;;1982;7.3409333
Africa-1983;Africa;;1983;6.421346
Africa-1984;Africa;;1984;6.124618
Africa-1985;Africa;;1985;6.5416107
Africa-1986;Africa;;1986;6.6174736
Africa-1987;Africa;;1987;6.1510053
Africa-1988;Africa;;1988;6.2762327
Africa-1989;Africa;;1989;6.575383
Africa-1990;Africa;;1990;6.4756594
Africa-1991;Africa;;1991;6.8665357
Africa-1992;Africa;;1992;6.454692
Africa-1993;Africa;;1993;6.311711
Africa-1994;Africa;;1994;6.1963334
Africa-1995;Africa;;1995;6.174329
Africa-1996;Africa;;1996;6.2783985
Africa-1997;Africa;;1997;6.3046694
Africa-1998;Africa;;1998;6.4815254
Africa-1999;Africa;;1999;6.6663065
Africa-2000;Africa;;2000;6.936677
Africa-2001;Africa;;2001;7.1568594
Africa-2002;Africa;;2002;7.35356
Africa-2003;Africa;;2003;6.7681456
Africa-2004;Africa;;2004;6.633235
Africa-2005;Africa;;2005;6.696118
Africa-2006;Africa;;2006;6.759675
Africa-2007;Africa;;2007;6.696656
Africa-2008;Africa;;2008;6.39227
Africa-2009;Africa;;2009;6.419966
Africa-2010;Africa;;2010;6.694661
Africa-2011;Africa;;2011;6.7864485
Africa-2012;Africa;;2012;6.525726
Africa-2013;Africa;;2013;6.6739335
Africa-2014;Africa;;2014;6.809334
Africa-2015;Africa;;2015;6.4173684
Africa-2016;Africa;;2016;6.06169
Africa-2017;Africa;;2017;6.3259087
Africa-2018;Africa;;2018;6.5469427
Africa-2019;Africa;;2019;6.617261
Africa-2020;Africa;;2020;7.327819
