id;Entity;Code;Year;total_patents
Africa-2000;Africa;;2000;82
Africa-2001;Africa;;2001;139
Africa-2002;Africa;;2002;146
Africa-2003;Africa;;2003;155
Africa-2004;Africa;;2004;204
Africa-2005;Africa;;2005;241
Africa-2006;Africa;;2006;216
Africa-2007;Africa;;2007;314
Africa-2008;Africa;;2008;399
Africa-2009;Africa;;2009;462
Africa-2010;Africa;;2010;691
Africa-2011;Africa;;2011;1002
Africa-2012;Africa;;2012;966
Africa-2013;Africa;;2013;866
Africa-2014;Africa;;2014;808
Africa-2015;Africa;;2015;734
Africa-2016;Africa;;2016;470
Africa-2017;Africa;;2017;420
Africa-2018;Africa;;2018;532
Africa-2019;Africa;;2019;332
Africa-2020;Africa;;2020;116
Africa-2021;Africa;;2021;25
Algeria-2000;Algeria;DZA;2000;5
Algeria-2001;Algeria;DZA;2001;6
Algeria-2002;Algeria;DZA;2002;2
Argentina-2000;Argentina;ARG;2000;95
Argentina-2001;Argentina;ARG;2001;63
Argentina-2002;Argentina;ARG;2002;97
Argentina-2003;Argentina;ARG;2003;75
Argentina-2004;Argentina;ARG;2004;76
Argentina-2005;Argentina;ARG;2005;95
Argentina-2006;Argentina;ARG;2006;121
Argentina-2007;Argentina;ARG;2007;128
Argentina-2008;Argentina;ARG;2008;159
Argentina-2009;Argentina;ARG;2009;188
Argentina-2010;Argentina;ARG;2010;242
Argentina-2011;Argentina;ARG;2011;177
Argentina-2012;Argentina;ARG;2012;229
Argentina-2013;Argentina;ARG;2013;243
Argentina-2014;Argentina;ARG;2014;160
Argentina-2015;Argentina;ARG;2015;148
Argentina-2016;Argentina;ARG;2016;156
Argentina-2017;Argentina;ARG;2017;108
Argentina-2018;Argentina;ARG;2018;94
Argentina-2019;Argentina;ARG;2019;102
Argentina-2020;Argentina;ARG;2020;11
Asia-2000;Asia;;2000;18241
Asia-2001;Asia;;2001;19583
Asia-2002;Asia;;2002;21455
Asia-2003;Asia;;2003;23834
Asia-2004;Asia;;2004;26976
Asia-2005;Asia;;2005;30483
Asia-2006;Asia;;2006;38137
Asia-2007;Asia;;2007;42903
Asia-2008;Asia;;2008;51765
Asia-2009;Asia;;2009;63501
Asia-2010;Asia;;2010;79107
Asia-2011;Asia;;2011;95319
Asia-2012;Asia;;2012;101636
Asia-2013;Asia;;2013;94234
Asia-2014;Asia;;2014;99169
Asia-2015;Asia;;2015;106779
Asia-2016;Asia;;2016;133747
Asia-2017;Asia;;2017;158256
Asia-2018;Asia;;2018;177162
Asia-2019;Asia;;2019;184069
Asia-2020;Asia;;2020;177479
Asia-2021;Asia;;2021;52248
Australia-2000;Australia;AUS;2000;1783
Australia-2001;Australia;AUS;2001;2381
Australia-2002;Australia;AUS;2002;1608
Australia-2003;Australia;AUS;2003;3374
Australia-2004;Australia;AUS;2004;882
Australia-2005;Australia;AUS;2005;948
Australia-2006;Australia;AUS;2006;1020
Australia-2007;Australia;AUS;2007;1468
Australia-2008;Australia;AUS;2008;1671
Australia-2009;Australia;AUS;2009;2142
