id;Entity;Code;Year;Share_solar
Africa-1971;Africa;;1971;0
Africa-1972;Africa;;1972;0
Africa-1973;Africa;;1973;0
Africa-1974;Africa;;1974;0
Africa-1975;Africa;;1975;0
Africa-1976;Africa;;1976;0
Africa-1977;Africa;;1977;0
Africa-1978;Africa;;1978;0
Africa-1979;Africa;;1979;0
Africa-1980;Africa;;1980;0
Africa-1981;Africa;;1981;0
Africa-1982;Africa;;1982;0
Africa-1983;Africa;;1983;0
Africa-1984;Africa;;1984;0
Africa-1985;Africa;;1985;0
Africa-1986;Africa;;1986;0
Africa-1987;Africa;;1987;0
Africa-1988;Africa;;1988;0
Africa-1989;Africa;;1989;0
Africa-1990;Africa;;1990;0
Africa-1991;Africa;;1991;0
Africa-1992;Africa;;1992;0
Africa-1993;Africa;;1993;0
Africa-1994;Africa;;1994;0
Africa-1995;Africa;;1995;0
Africa-1996;Africa;;1996;0
Africa-1997;Africa;;1997;0
Africa-1998;Africa;;1998;0
Africa-1999;Africa;;1999;0
Africa-2000;Africa;;2000;0.0011007969
Africa-2001;Africa;;2001;0.001324146
Africa-2002;Africa;;2002;0.0014531702
Africa-2003;Africa;;2003;0.0016437006
Africa-2004;Africa;;2004;0.0018682962
Africa-2005;Africa;;2005;0.002214702
Africa-2006;Africa;;2006;0.0027837367
Africa-2007;Africa;;2007;0.0035508324
Africa-2008;Africa;;2008;0.004789645
Africa-2009;Africa;;2009;0.006178744
Africa-2010;Africa;;2010;0.013429861
Africa-2011;Africa;;2011;0.03689415
Africa-2012;Africa;;2012;0.05823969
Africa-2013;Africa;;2013;0.044672735
Africa-2014;Africa;;2014;0.10449535
Africa-2015;Africa;;2015;0.1736639
Africa-2016;Africa;;2016;0.2779333
Africa-2017;Africa;;2017;0.3892137
Africa-2018;Africa;;2018;0.48900396
Africa-2019;Africa;;2019;0.6120093
Africa-2020;Africa;;2020;0.8039458
Africa-2021;Africa;;2021;0.77807826
Africa (BP)-1971;Africa (BP);;1971;0
Africa (BP)-1972;Africa (BP);;1972;0
Africa (BP)-1973;Africa (BP);;1973;0
Africa (BP)-1974;Africa (BP);;1974;0
Africa (BP)-1975;Africa (BP);;1975;0
Africa (BP)-1976;Africa (BP);;1976;0
Africa (BP)-1977;Africa (BP);;1977;0
Africa (BP)-1978;Africa (BP);;1978;0
Africa (BP)-1979;Africa (BP);;1979;0
Africa (BP)-1980;Africa (BP);;1980;0
Africa (BP)-1981;Africa (BP);;1981;0
Africa (BP)-1982;Africa (BP);;1982;0
Africa (BP)-1983;Africa (BP);;1983;0
Africa (BP)-1984;Africa (BP);;1984;0
Africa (BP)-1985;Africa (BP);;1985;0
Africa (BP)-1986;Africa (BP);;1986;0
Africa (BP)-1987;Africa (BP);;1987;0
Africa (BP)-1988;Africa (BP);;1988;0
Africa (BP)-1989;Africa (BP);;1989;0
Africa (BP)-1990;Africa (BP);;1990;0
Africa (BP)-1991;Africa (BP);;1991;0
Africa (BP)-1992;Africa (BP);;1992;0
Africa (BP)-1993;Africa (BP);;1993;0
Africa (BP)-1994;Africa (BP);;1994;0
Africa (BP)-1995;Africa (BP);;1995;0
Africa (BP)-1996;Africa (BP);;1996;0
Africa (BP)-1997;Africa (BP);;1997;0
Africa (BP)-1998;Africa (BP);;1998;0
Africa (BP)-1999;Africa (BP);;1999;0
Africa (BP)-2000;Africa (BP);;2000;0.0011006584
Africa (BP)-2001;Africa (BP);;2001;0.0013239534
Africa (BP)-2002;Africa (BP);;2002;0.0014529313
Africa (BP)-2003;Africa (BP);;2003;0.0016441405
Africa (BP)-2004;Africa (BP);;2004;0.0018683693
Africa (BP)-2005;Africa (BP);;2005;0.002214768
Africa (BP)-2006;Africa (BP);;2006;0.0027840806
Africa (BP)-2007;Africa (BP);;2007;0.003550922
Africa (BP)-2008;Africa (BP);;2008;0.004789489
Africa (BP)-2009;Africa (BP);;2009;0.006178827
Africa (BP)-2010;Africa (BP);;2010;0.013430021
Africa (BP)-2011;Africa (BP);;2011;0.03689417
Africa (BP)-2012;Africa (BP);;2012;0.0582397
Africa (BP)-2013;Africa (BP);;2013;0.04467274
Africa (BP)-2014;Africa (BP);;2014;0.10449534
Africa (BP)-2015;Africa (BP);;2015;0.17366369
Africa (BP)-2016;Africa (BP);;2016;0.27793333
Africa (BP)-2017;Africa (BP);;2017;0.3892137
Africa (BP)-2018;Africa (BP);;2018;0.4890039
Africa (BP)-2019;Africa (BP);;2019;0.6120092
Africa (BP)-2020;Africa (BP);;2020;0.8039458
Africa (BP)-2021;Africa (BP);;2021;0.77807826
Algeria-1965;Algeria;DZA;1965;0
Algeria-1966;Algeria;DZA;1966;0
Algeria-1967;Algeria;DZA;1967;0
Algeria-1968;Algeria;DZA;1968;0
Algeria-1969;Algeria;DZA;1969;0
Algeria-1970;Algeria;DZA;1970;0
Algeria-1971;Algeria;DZA;1971;0
Algeria-1972;Algeria;DZA;1972;0
Algeria-1973;Algeria;DZA;1973;0
Algeria-1974;Algeria;DZA;1974;0
Algeria-1975;Algeria;DZA;1975;0
Algeria-1976;Algeria;DZA;1976;0
Algeria-1977;Algeria;DZA;1977;0
Algeria-1978;Algeria;DZA;1978;0
Algeria-1979;Algeria;DZA;1979;0
Algeria-1980;Algeria;DZA;1980;0
Algeria-1981;Algeria;DZA;1981;0
Algeria-1982;Algeria;DZA;1982;0
Algeria-1983;Algeria;DZA;1983;0
Algeria-1984;Algeria;DZA;1984;0
Algeria-1985;Algeria;DZA;1985;0
Algeria-1986;Algeria;DZA;1986;0
Algeria-1987;Algeria;DZA;1987;0
Algeria-1988;Algeria;DZA;1988;0
Algeria-1989;Algeria;DZA;1989;0
Algeria-1990;Algeria;DZA;1990;0
Algeria-1991;Algeria;DZA;1991;0
Algeria-1992;Algeria;DZA;1992;0
Algeria-1993;Algeria;DZA;1993;0
Algeria-1994;Algeria;DZA;1994;0
Algeria-1995;Algeria;DZA;1995;0
Algeria-1996;Algeria;DZA;1996;0
Algeria-1997;Algeria;DZA;1997;0
Algeria-1998;Algeria;DZA;1998;0
Algeria-1999;Algeria;DZA;1999;0
Algeria-2000;Algeria;DZA;2000;0
Algeria-2001;Algeria;DZA;2001;0
Algeria-2002;Algeria;DZA;2002;0
Algeria-2003;Algeria;DZA;2003;0
Algeria-2004;Algeria;DZA;2004;0
Algeria-2005;Algeria;DZA;2005;0
Algeria-2006;Algeria;DZA;2006;0
Algeria-2007;Algeria;DZA;2007;0
Algeria-2008;Algeria;DZA;2008;0
Algeria-2009;Algeria;DZA;2009;0
Algeria-2010;Algeria;DZA;2010;0.0057517756
Algeria-2011;Algeria;DZA;2011;0.010760946
Algeria-2012;Algeria;DZA;2012;0.014433099
Algeria-2013;Algeria;DZA;2013;0.014515886
Algeria-2014;Algeria;DZA;2014;0.027756516
Algeria-2015;Algeria;DZA;2015;0.025293589
Algeria-2016;Algeria;DZA;2016;0.106301226
Algeria-2017;Algeria;DZA;2017;0.21502112
Algeria-2018;Algeria;DZA;2018;0.23763257
Algeria-2019;Algeria;DZA;2019;0.23329379
Algeria-2020;Algeria;DZA;2020;0.27490386
Algeria-2021;Algeria;DZA;2021;0.2537999
Argentina-1965;Argentina;ARG;1965;0
Argentina-1966;Argentina;ARG;1966;0
Argentina-1967;Argentina;ARG;1967;0
Argentina-1968;Argentina;ARG;1968;0
Argentina-1969;Argentina;ARG;1969;0
Argentina-1970;Argentina;ARG;1970;0
Argentina-1971;Argentina;ARG;1971;0
Argentina-1972;Argentina;ARG;1972;0
Argentina-1973;Argentina;ARG;1973;0
Argentina-1974;Argentina;ARG;1974;0
Argentina-1975;Argentina;ARG;1975;0
Argentina-1976;Argentina;ARG;1976;0
Argentina-1977;Argentina;ARG;1977;0
Argentina-1978;Argentina;ARG;1978;0
Argentina-1979;Argentina;ARG;1979;0
Argentina-1980;Argentina;ARG;1980;0
Argentina-1981;Argentina;ARG;1981;0
Argentina-1982;Argentina;ARG;1982;0
Argentina-1983;Argentina;ARG;1983;0
Argentina-1984;Argentina;ARG;1984;0
Argentina-1985;Argentina;ARG;1985;0
Argentina-1986;Argentina;ARG;1986;0
Argentina-1987;Argentina;ARG;1987;0
Argentina-1988;Argentina;ARG;1988;0
Argentina-1989;Argentina;ARG;1989;0
Argentina-1990;Argentina;ARG;1990;0
Argentina-1991;Argentina;ARG;1991;0
Argentina-1992;Argentina;ARG;1992;0
